City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Asosa,ET,2022-08-02 23:33:05,10.0667,34.5333,56.34,96,73,2.06
68,Mount Isa,AU,2022-08-02 23:33:06,-20.7333,139.5,71.37,43,25,0.0
69,Port Lincoln,AU,2022-08-02 23:30:42,-34.7333,135.8667,56.68,64,0,21.68
70,Sistranda,NO,2022-08-02 23:33:06,63.7256,8.834,58.96,85,100,10.38
71,Butaritari,KI,2022-08-02 23:30:48,3.0707,172.7902,82.44,72,95,15.46
72,Port-Cartier,CA,2022-08-02 23:33:07,50.0334,-66.8654,67.68,75,99,14.54
73,Tuktoyaktuk,CA,2022-08-02 23:30:37,69.4541,-133.0374,51.8,87,75,13.8
74,Khatanga,RU,2022-08-02 23:33:07,71.9667,102.5,45.27,68,100,5.35
75,Port Elizabeth,ZA,2022-08-02 23:33:07,-33.918,25.5701,58.32,72,0,3.0
76,Nikolskoye,RU,2022-08-02 23:30:05,59.7035,30.7861,59.81,91,77,4.7
77,Vaini,TO,2022-08-02 23:29:00,-21.2,-175.2,78.96,94,20,11.5
78,Aleksandrov Gay,RU,2022-08-02 23:33:08,50.147,48.5704,72.21,45,20,8.16
79,Longyearbyen,SJ,2022-08-02 23:32:35,78.2186,15.6401,51.64,82,75,3.44
80,Suarez,CO,2022-08-02 23:33:09,2.954,-76.6964,68.85,96,96,2.68
81,Olonets,RU,2022-08-02 23:33:09,60.9847,32.9698,56.46,95,20,5.08
82,Dospat,BG,2022-08-02 23:33:09,41.65,24.1667,56.14,69,70,3.56
83,Middletown,US,2022-08-02 23:33:10,39.5151,-84.3983,86.11,66,0,48.99
84,Upernavik,GL,2022-08-02 23:29:34,72.7868,-56.1549,45.43,75,87,4.99
85,Bluff,NZ,2022-08-02 23:31:26,-46.6,168.3333,44.8,77,46,32.79
86,Saldanha,ZA,2022-08-02 23:29:00,-33.0117,17.9442,53.65,91,22,8.59
87,Drayton Valley,CA,2022-08-02 23:34:11,53.2168,-114.9854,63.3,72,37,10.27
