City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Valle Hermoso,MX,86.94,overcast clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
175,Priboj,BA,73.24,clear sky,44.6028,18.9314,EKO-kamp Majevica
177,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
179,Caravelas,BR,70.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
181,Dicabisagan,PH,82.8,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
185,Awjilah,LY,77.67,clear sky,29.1081,21.2869,المنزل
186,Ukiah,US,88.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
188,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
189,Lompoc,US,83.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
190,San Quintin,MX,72.5,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
191,Wanning,CN,82.8,light rain,18.8003,110.3967,Paradise Hotel
192,High Level,CA,78.91,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
193,Gilbues,BR,75.67,clear sky,-9.8317,-45.3439,Hotel Camapuã
196,Tala,EG,71.33,clear sky,30.6803,30.9429,توكيل توشيبا فرع تلا
198,Mason City,US,84.18,thunderstorm with rain,43.1536,-93.201,Days Inn by Wyndham Mason City
202,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
206,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
209,Kavaratti,IN,80.42,overcast clouds,10.5669,72.642,Green leaf
211,Isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
215,Atuona,PF,76.55,few clouds,-9.8,-139.0333,Villa Enata
216,Balabac,PH,82.38,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
217,Khao Yoi,TH,84.0,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
219,Tonantins,BR,74.66,broken clouds,-2.8731,-67.8022,Hotel Hortensias
222,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
227,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
231,Phan Thiet,VN,81.03,light rain,10.9333,108.1,Hotel Saigon-PT
232,Mikuni,JP,84.11,broken clouds,36.2171,136.1519,Seifuso
236,Shibata,JP,78.67,broken clouds,37.95,139.3333,Shibata Daiichi Hotel
237,Salalah,OM,77.05,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
238,Hami,CN,87.4,overcast clouds,42.8,93.45,Laoyutang Resort
241,Alta Floresta,BR,83.41,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
244,Bengkulu,ID,77.56,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
245,Hope,US,89.98,broken clouds,33.6671,-93.5916,Best Western Hope
247,Golden,US,77.09,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
251,Tera,NE,85.01,clear sky,14.0078,0.7531,Hotel Daressalam Téra
252,Tomatlan,MX,76.46,overcast clouds,19.9333,-105.25,El Salvial
254,Semnan,IR,80.87,clear sky,35.5729,53.3971,Semnan Tourist Hotel
255,Tazmalt,DZ,75.42,clear sky,36.3868,4.3989,Hôtel Numédia
259,Cherkizovo,RU,70.16,few clouds,55.9758,37.7875,Hotel KIK7
